Date,SU26238RMFS4
2025-08-08,60.226
2025-08-11,60.9
2025-08-12,61.388
2025-08-13,61.282
2025-08-14,61.541
2025-08-15,62.639
2025-08-18,63.497
2025-08-19,63.672
2025-08-20,62.581
2025-08-21,61.605
2025-08-22,61.503
2025-08-25,61.512
2025-08-26,60.572
2025-08-27,60.8
2025-08-28,60.4
2025-08-29,60.512
2025-09-01,60.546
2025-09-02,60.35
2025-09-03,61.207
2025-09-04,61.151
2025-09-05,61.229
2025-09-08,61.393
2025-09-09,61.068
2025-09-10,60.75
2025-09-11,60.893
2025-09-12,59.998
2025-09-15,59.73
2025-09-16,59.525
2025-09-17,59.854
2025-09-18,59.355
2025-09-19,58.49
2025-09-22,58.54
2025-09-23,57.8
2025-09-24,57.434
2025-09-25,56.901
2025-09-26,56.924
2025-09-29,56.219
2025-09-30,56.216
2025-10-01,56.093
2025-10-02,55.875
2025-10-03,55.809
2025-10-06,56.0
2025-10-07,55.905
2025-10-08,55.25
2025-10-09,55.7
2025-10-10,55.548
2025-10-13,55.483
2025-10-14,55.398
2025-10-15,55.628
2025-10-16,57.334
2025-10-17,57.33
2025-10-20,57.106
2025-10-21,56.712
2025-10-22,56.16
2025-10-23,56.486
2025-10-24,56.34
2025-10-27,55.74
2025-10-28,56.426
2025-10-29,56.863
2025-10-30,57.468
2025-10-31,57.025
2025-11-01,57.274
2025-11-03,57.772
2025-11-05,57.73
2025-11-06,57.735
2025-11-07,57.862
2025-11-10,58.299
2025-11-11,58.8
2025-11-12,59.011
2025-11-13,59.269
2025-11-14,58.926
2025-11-17,58.84
2025-11-18,58.863
2025-11-19,58.845
2025-11-20,59.0
2025-11-21,59.044
2025-11-24,59.113
2025-11-25,59.039
2025-11-26,58.867
2025-11-27,58.631
2025-11-28,58.956
2025-12-01,58.894
2025-12-02,59.141
2025-12-03,59.25
2025-12-04,59.377
2025-12-05,59.79
2025-12-08,59.7
2025-12-09,59.555
2025-12-10,59.799
2025-12-11,59.946
2025-12-12,60.028
2025-12-15,60.13
2025-12-16,60.085
2025-12-17,60.249
2025-12-18,60.598
2025-12-19,60.316
2025-12-22,59.874
2025-12-23,59.827
2025-12-24,59.749
2025-12-25,59.388
2025-12-26,59.2
2025-12-29,59.34
2025-12-30,59.565
