Date,MRKP
2025-04-01,0.3737
2025-04-02,0.375
2025-04-03,0.367
2025-04-04,0.3656
2025-04-07,0.3521
2025-04-08,0.3643
2025-04-09,0.3532
2025-04-10,0.3699
2025-04-11,0.3758
2025-04-14,0.3745
2025-04-15,0.3718
2025-04-16,0.3768
2025-04-17,0.3805
2025-04-18,0.3765
2025-04-21,0.3814
2025-04-22,0.3794
2025-04-23,0.3781
2025-04-24,0.3783
2025-04-25,0.3847
2025-04-28,0.3868
2025-04-29,0.3775
2025-04-30,0.3807
2025-05-02,0.3792
2025-05-05,0.3676
2025-05-06,0.3809
2025-05-07,0.3817
2025-05-08,0.3846
2025-05-12,0.39
2025-05-13,0.3799
2025-05-14,0.3809
2025-05-15,0.384
2025-05-16,0.3844
2025-05-19,0.388
2025-05-20,0.3844
2025-05-21,0.3806
2025-05-22,0.379
2025-05-23,0.3783
2025-05-26,0.3792
2025-05-27,0.3837
2025-05-28,0.3888
2025-05-29,0.3926
2025-05-30,0.4007
2025-06-02,0.4034
2025-06-03,0.4146
2025-06-04,0.4152
2025-06-05,0.419
2025-06-06,0.4181
2025-06-09,0.421
2025-06-10,0.4201
2025-06-11,0.4239
2025-06-13,0.4344
2025-06-16,0.447
2025-06-17,0.4527
2025-06-18,0.4685
2025-06-19,0.4665
2025-06-20,0.467
2025-06-23,0.4596
2025-06-24,0.4485
2025-06-25,0.4491
2025-06-26,0.4528
2025-06-27,0.4534
2025-06-30,0.4663
2025-07-01,0.4286
2025-07-02,0.4176
2025-07-03,0.42
2025-07-04,0.421
2025-07-07,0.4186
2025-07-08,0.4174
2025-07-09,0.4137
2025-07-10,0.4251
2025-07-11,0.4244
2025-07-14,0.4334
2025-07-15,0.4381
2025-07-16,0.4502
2025-07-17,0.457
2025-07-18,0.4664
2025-07-21,0.4608
2025-07-22,0.4648
2025-07-23,0.4602
2025-07-24,0.4542
2025-07-25,0.4554
2025-07-28,0.4548
2025-07-29,0.4538
2025-07-30,0.4651
2025-07-31,0.4739
2025-08-01,0.4873
2025-08-04,0.5065
2025-08-05,0.5286
2025-08-06,0.5158
2025-08-07,0.5127
2025-08-08,0.5219
2025-08-11,0.5218
2025-08-12,0.5216
2025-08-13,0.5191
2025-08-14,0.5111
2025-08-15,0.5045
2025-08-18,0.5199
2025-08-19,0.5222
2025-08-20,0.511
2025-08-21,0.4996
2025-08-22,0.5092
2025-08-25,0.5095
2025-08-26,0.5126
2025-08-27,0.5201
2025-08-28,0.5102
2025-08-29,0.5097
2025-09-01,0.5118
2025-09-02,0.5047
