Date,GMKN
2025-06-10,106.24
2025-06-11,106.8
2025-06-13,105.5
2025-06-16,104.42
2025-06-17,107.52
2025-06-18,107.28
2025-06-19,106.72
2025-06-20,104.5
2025-06-23,103.9
2025-06-24,104.98
2025-06-25,107.18
2025-06-26,110.4
2025-06-27,111.58
2025-06-30,111.22
2025-07-01,110.48
2025-07-02,112.02
2025-07-03,109.4
2025-07-04,109.48
2025-07-07,106.4
2025-07-08,103.72
2025-07-09,104.16
2025-07-10,104.42
2025-07-11,101.5
2025-07-14,109.26
2025-07-15,110.1
2025-07-16,110.04
2025-07-17,108.68
2025-07-18,115.36
2025-07-21,116.54
2025-07-22,119.5
2025-07-23,118.24
2025-07-24,118.26
2025-07-25,114.68
2025-07-28,117.0
2025-07-29,122.9
2025-07-30,119.46
2025-07-31,120.86
2025-08-01,120.12
2025-08-04,120.68
2025-08-05,122.16
2025-08-06,123.7
2025-08-07,125.5
2025-08-08,128.3
2025-08-11,128.1
2025-08-12,128.2
2025-08-13,128.2
2025-08-14,131.46
2025-08-15,130.58
2025-08-18,129.88
2025-08-19,128.34
2025-08-20,125.72
2025-08-21,121.8
2025-08-22,122.94
2025-08-25,123.42
2025-08-26,122.96
2025-08-27,127.1
2025-08-28,124.32
2025-08-29,125.44
2025-09-01,123.2
2025-09-02,123.36
2025-09-03,124.88
2025-09-04,124.7
2025-09-05,126.0
2025-09-08,129.18
2025-09-09,130.2
2025-09-10,129.66
2025-09-11,129.44
2025-09-12,124.04
2025-09-15,123.56
2025-09-16,124.12
2025-09-17,126.3
2025-09-18,122.88
2025-09-19,119.28
2025-09-22,121.8
2025-09-23,119.34
2025-09-24,123.7
2025-09-25,120.56
2025-09-26,122.78
2025-09-29,125.96
2025-09-30,123.88
2025-10-01,121.1
2025-10-02,121.4
2025-10-03,120.08
2025-10-06,124.02
2025-10-07,125.96
2025-10-08,121.86
2025-10-09,128.68
2025-10-10,125.64
2025-10-13,129.04
2025-10-14,126.56
2025-10-15,125.22
2025-10-16,134.34
2025-10-17,131.52
2025-10-20,133.54
2025-10-21,128.0
2025-10-22,127.3
2025-10-23,127.36
2025-10-24,126.18
2025-10-27,118.5
2025-10-28,122.6
2025-10-29,125.3
2025-10-30,126.7
2025-10-31,123.94
2025-11-01,125.12
2025-11-03,127.0
2025-11-05,125.02
2025-11-06,124.74
2025-11-07,126.52
2025-11-10,126.56
2025-11-11,126.82
2025-11-12,124.7
2025-11-13,125.38
2025-11-14,123.9
2025-11-17,123.02
2025-11-18,127.0
2025-11-19,129.8
2025-11-20,133.38
2025-11-21,132.62
2025-11-24,129.8
2025-11-25,132.34
2025-11-26,131.36
2025-11-27,127.86
2025-11-28,130.96
2025-12-01,131.1
2025-12-02,130.96
2025-12-03,129.96
2025-12-04,128.94
2025-12-05,134.02
2025-12-08,133.02
2025-12-09,137.8
2025-12-10,136.9
2025-12-11,136.36
2025-12-12,136.78
2025-12-15,139.0
2025-12-16,140.48
2025-12-17,140.44
2025-12-18,142.68
2025-12-19,142.2
2025-12-22,143.42
2025-12-23,148.08
2025-12-24,145.72
2025-12-25,147.16
2025-12-26,152.0
2025-12-29,148.7
2025-12-30,149.46
