Date,PLZL
2024-08-28,12593.5
2024-08-29,12484.5
2024-08-30,12000.0
2024-09-02,11539.0
2024-09-03,11517.0
2024-09-04,11903.0
2024-09-05,11997.0
2024-09-06,12099.5
2024-09-09,12546.0
2024-09-10,12481.0
2024-09-11,12446.0
2024-09-12,12657.0
2024-09-13,12834.5
2024-09-16,13273.0
2024-09-17,13178.0
2024-09-18,13048.5
2024-09-19,13235.0
2024-09-20,13510.0
2024-09-23,13630.0
2024-09-24,13747.5
2024-09-25,13441.5
2024-09-26,13528.0
2024-09-27,13397.5
2024-09-30,13189.5
2024-10-01,13539.0
2024-10-02,13419.5
2024-10-03,13448.0
2024-10-04,13423.0
2024-10-07,13359.5
2024-10-08,13288.5
2024-10-09,13019.5
2024-10-10,13028.5
2024-10-11,13259.5
2024-10-14,13328.0
2024-10-15,13508.0
2024-10-16,13513.0
2024-10-17,13526.5
2024-10-18,13641.0
2024-10-21,14554.5
2024-10-22,14602.0
2024-10-23,14500.0
2024-10-24,14815.0
2024-10-25,14594.0
2024-10-28,14365.0
2024-10-29,14538.0
2024-10-30,14799.5
2024-10-31,14715.5
2024-11-01,15164.0
2024-11-02,15189.0
2024-11-05,15232.0
2024-11-06,14718.5
2024-11-07,14850.0
2024-11-08,14746.0
2024-11-11,14258.0
2024-11-12,14370.0
2024-11-13,14152.5
2024-11-14,14143.5
2024-11-15,14365.5
2024-11-18,14571.0
2024-11-19,14418.0
2024-11-20,14409.0
2024-11-21,14421.0
2024-11-22,14762.0
2024-11-25,14513.0
2024-11-26,14180.0
2024-11-27,14307.5
2024-11-28,14203.5
2024-11-29,14124.5
2024-12-02,14430.0
2024-12-03,14512.5
2024-12-04,14260.0
2024-12-05,14319.0
2024-12-06,14323.0
2024-12-09,14799.0
2024-12-10,14777.0
2024-12-11,15044.0
2024-12-12,14770.0
2024-12-13,13692.5
2024-12-16,13074.0
2024-12-17,13620.0
2024-12-18,13820.0
2024-12-19,13336.0
2024-12-20,13600.0
2024-12-23,13929.5
2024-12-24,13719.0
2024-12-25,13973.5
2024-12-26,14001.0
2024-12-27,14139.0
2024-12-28,13926.0
2024-12-30,13981.0
2025-01-03,14095.0
2025-01-06,14070.0
2025-01-08,14410.0
2025-01-09,14533.0
2025-01-10,14886.0
2025-01-13,14903.0
2025-01-14,14914.0
2025-01-15,15084.0
2025-01-16,15207.5
2025-01-17,15163.5
2025-01-20,14971.0
2025-01-21,15800.0
2025-01-22,16010.0
2025-01-23,16465.5
2025-01-24,17080.0
2025-01-27,16902.0
2025-01-28,17205.5
2025-01-29,17017.0
2025-01-30,17250.0
2025-01-31,17170.0
2025-02-03,17359.5
2025-02-04,17678.0
2025-02-05,17846.5
2025-02-06,17729.5
2025-02-07,17830.0
2025-02-10,17973.5
2025-02-11,18170.5
2025-02-12,18882.5
2025-02-13,19319.0
2025-02-14,18709.5
2025-02-17,18500.0
2025-02-18,18717.0
2025-02-19,18973.5
2025-02-20,19009.0
2025-02-21,18849.0
2025-02-24,18717.0
2025-02-25,19521.0
2025-02-26,19562.5
2025-02-27,19168.0
2025-02-28,19313.0
2025-03-03,19159.0
2025-03-04,19702.5
2025-03-05,19531.5
2025-03-06,19550.0
2025-03-07,19399.5
2025-03-10,18871.0
2025-03-11,19030.5
2025-03-12,19021.5
2025-03-13,18997.0
2025-03-14,19333.0
2025-03-17,19406.5
2025-03-18,19001.0
2025-03-19,19054.5
2025-03-20,19039.5
2025-03-21,19017.0
2025-03-27,1867.6
2025-03-28,1880.0
2025-03-31,1863.6
2025-04-01,1783.0
2025-04-02,1811.4
2025-04-03,1741.2
2025-04-04,1741.2
2025-04-07,1727.2
2025-04-08,1776.8
2025-04-09,1818.2
2025-04-10,1850.0
2025-04-11,1899.6
2025-04-14,1897.8
2025-04-15,1898.0
2025-04-16,1950.0
2025-04-17,1924.2
2025-04-18,1917.2
2025-04-21,1958.0
2025-04-22,1954.2
2025-04-23,1911.0
2025-04-24,1904.8
2025-04-25,1856.8
2025-04-28,1816.6
2025-04-29,1761.8
2025-04-30,1751.4
2025-05-02,1701.8
2025-05-05,1744.6
2025-05-06,1804.2
2025-05-07,1763.4
2025-05-08,1748.8
2025-05-12,1736.6
2025-05-13,1759.8
