Date,MGNT
2023-09-25,5407.5
2023-09-26,5405.0
2023-09-27,5495.0
2023-09-28,5551.5
2023-09-29,5505.0
2023-10-02,5489.0
2023-10-03,5461.0
2023-10-04,5457.0
2023-10-05,5425.5
2023-10-06,5430.5
2023-10-09,5518.0
2023-10-10,5656.0
2023-10-11,5550.5
2023-10-12,5562.0
2023-10-13,5599.5
2023-10-16,5665.0
2023-10-17,5764.5
2023-10-18,5753.0
2023-10-19,5795.5
2023-10-20,5839.0
2023-10-23,5973.5
2023-10-24,6073.0
2023-10-25,6046.5
2023-10-26,5913.0
2023-10-27,6015.0
2023-10-30,5948.0
2023-10-31,5818.0
2023-11-01,5874.0
2023-11-02,5847.0
2023-11-03,5866.5
2023-11-06,5896.5
2023-11-07,6044.5
2023-11-08,6090.0
2023-11-09,6079.5
2023-11-10,6015.5
2023-11-13,6061.0
2023-11-14,5940.0
2023-11-15,5935.0
2023-11-16,5823.0
2023-11-17,5903.5
2023-11-20,5931.0
2023-11-21,5952.0
2023-11-22,6045.5
2023-11-23,6259.0
2023-11-24,6323.0
2023-11-27,6290.0
2023-11-28,6347.5
2023-11-29,6377.5
2023-11-30,6354.0
2023-12-01,6405.5
2023-12-04,6265.0
2023-12-05,6333.5
2023-12-06,6352.0
2023-12-07,6264.0
2023-12-08,6170.0
2023-12-11,6058.5
2023-12-12,6071.5
2023-12-13,6096.5
2023-12-14,6072.5
2023-12-15,6362.0
2023-12-18,6464.5
2023-12-19,6477.5
2023-12-20,6692.5
2023-12-21,6704.5
2023-12-22,6680.0
2023-12-25,6939.5
2023-12-26,6920.5
2023-12-27,6982.5
2023-12-28,6970.0
2023-12-29,7006.0
2024-01-03,7187.0
2024-01-04,7305.5
2024-01-05,7255.5
2024-01-08,7210.0
2024-01-09,7214.5
2024-01-10,7380.0
2024-01-11,7114.5
2024-01-12,7082.0
2024-01-15,7070.0
2024-01-16,6923.0
2024-01-17,6943.5
2024-01-18,6816.5
2024-01-19,6944.5
2024-01-22,6890.5
2024-01-23,6883.5
2024-01-24,6895.0
2024-01-25,6864.5
2024-01-26,6820.5
2024-01-29,6905.5
2024-01-30,7049.5
2024-01-31,7039.5
2024-02-01,7119.0
2024-02-02,7116.0
2024-02-05,7062.5
2024-02-06,7199.0
2024-02-07,7283.5
2024-02-08,7318.0
2024-02-09,7283.0
2024-02-12,7249.0
2024-02-13,7250.0
2024-02-14,7420.0
2024-02-15,7471.5
2024-02-16,7424.5
2024-02-19,7399.5
2024-02-20,7256.5
2024-02-21,7199.0
2024-02-22,7272.0
2024-02-26,7401.0
2024-02-27,7499.5
2024-02-28,7631.5
2024-02-29,7651.5
2024-03-01,7634.0
2024-03-04,7698.0
2024-03-05,7610.0
2024-03-06,7613.0
2024-03-07,7646.0
2024-03-11,7760.0
2024-03-12,7744.0
2024-03-13,7648.5
2024-03-14,7607.5
2024-03-15,7611.5
2024-03-18,7636.0
2024-03-19,7586.0
2024-03-20,7599.0
2024-03-21,7604.0
2024-03-22,7410.5
2024-03-25,7611.5
2024-03-26,7689.0
2024-03-27,7709.0
2024-03-28,7740.5
2024-03-29,7896.0
2024-04-01,7943.0
2024-04-02,7818.0
2024-04-03,7804.0
2024-04-04,7864.5
2024-04-05,7840.0
2024-04-08,8000.0
2024-04-09,7935.0
2024-04-10,7918.0
2024-04-11,7880.5
2024-04-12,7991.5
2024-04-15,8248.5
2024-04-16,8232.0
2024-04-17,8160.0
2024-04-18,8078.5
2024-04-19,8181.5
2024-04-22,8204.0
2024-04-23,8211.5
2024-04-24,8153.0
2024-04-25,8122.0
2024-04-26,8310.0
2024-04-27,8235.0
2024-04-29,8324.0
2024-04-30,8405.0
2024-05-02,8283.0
2024-05-03,8259.5
2024-05-06,8209.5
2024-05-07,8267.0
2024-05-08,8247.0
2024-05-10,8370.5
2024-05-13,8313.0
2024-05-14,8290.0
2024-05-15,8444.0
2024-05-16,8355.0
2024-05-17,8230.0
2024-05-20,8145.5
2024-05-21,8199.5
2024-05-22,8090.0
2024-05-23,8082.0
2024-05-24,8057.0
2024-05-27,7872.0
2024-05-28,7818.5
2024-05-29,7874.5
2024-05-30,7692.5
2024-05-31,7072.0
2024-06-03,6697.0
2024-06-04,6828.5
2024-06-05,6636.0
2024-06-06,6692.0
2024-06-07,6744.0
2024-06-10,6580.0
2024-06-11,6486.0
2024-06-13,6491.0
2024-06-14,6620.0
2024-06-17,6619.5
2024-06-18,6556.5
2024-06-19,6579.0
2024-06-20,6572.0
2024-06-21,6457.0
2024-06-24,6281.0
2024-06-25,6390.0
2024-06-26,6375.0
2024-06-27,6340.5
2024-06-28,6369.0
2024-07-01,6558.0
2024-07-02,6592.0
2024-07-03,6530.0
2024-07-04,6470.0
2024-07-05,6435.0
2024-07-08,6392.0
2024-07-09,6136.0
2024-07-10,5835.5
2024-07-11,6241.5
2024-07-12,6215.0
2024-07-15,5890.0
2024-07-16,5912.0
2024-07-17,5790.0
2024-07-18,6006.5
2024-07-19,6113.0
2024-07-22,6079.5
2024-07-23,6039.5
2024-07-24,5934.0
2024-07-25,5902.5
2024-07-26,5932.0
2024-07-29,5757.5
2024-07-30,5797.5
2024-07-31,5750.5
2024-08-01,5690.5
2024-08-02,5639.0
2024-08-05,5505.0
2024-08-06,5482.0
2024-08-07,5565.5
2024-08-08,5464.5
2024-08-09,5508.0
2024-08-12,5510.5
2024-08-13,5631.5
2024-08-14,5559.0
2024-08-15,5480.0
2024-08-16,5371.0
2024-08-19,5241.0
2024-08-20,5244.0
2024-08-21,5211.0
2024-08-22,5088.5
2024-08-23,4948.5
2024-08-26,5138.0
2024-08-27,4998.0
2024-08-28,4926.0
2024-08-29,4999.0
2024-08-30,4720.0
2024-09-02,4595.0
2024-09-03,4610.0
2024-09-04,4705.0
2024-09-05,4712.5
2024-09-06,4756.0
2024-09-09,4910.0
2024-09-10,4883.0
2024-09-11,4793.5
2024-09-12,4725.5
2024-09-13,4998.0
2024-09-16,5359.5
2024-09-17,5694.5
2024-09-18,5597.5
2024-09-19,5605.0
2024-09-20,5919.5
2024-09-23,5874.5
2024-09-24,5848.0
2024-09-25,5763.5
2024-09-26,5789.5
2024-09-27,5759.0
2024-09-30,5667.0
2024-10-01,5244.0
2024-10-02,5056.0
2024-10-03,5099.5
2024-10-04,5076.0
2024-10-07,5069.5
2024-10-08,4930.0
2024-10-09,4889.5
2024-10-10,4968.0
2024-10-11,4902.0
2024-10-14,4923.5
2024-10-15,5007.0
2024-10-16,4970.0
2024-10-17,4882.5
2024-10-18,4861.0
2024-10-21,4818.0
2024-10-22,4814.0
2024-10-23,4730.0
2024-10-24,4673.5
2024-10-25,4504.5
2024-10-28,4376.0
2024-10-29,4404.0
2024-10-30,4408.0
2024-10-31,4486.0
2024-11-01,4529.5
2024-11-02,4520.0
2024-11-05,4529.5
2024-11-06,4625.5
2024-11-07,4776.5
2024-11-08,4856.5
2024-11-11,4917.0
2024-11-12,4802.5
2024-11-13,4840.0
2024-11-14,4789.5
2024-11-15,4822.5
2024-11-18,4685.0
2024-11-19,4491.5
2024-11-20,4424.0
2024-11-21,4582.5
