Date,ROSN
2025-02-19,575.95
2025-02-20,577.95
2025-02-21,572.55
2025-02-24,569.45
2025-02-25,582.8
2025-02-26,569.25
2025-02-27,552.85
2025-02-28,556.05
2025-03-03,539.0
2025-03-04,540.1
2025-03-05,530.5
2025-03-06,529.55
2025-03-07,528.8
2025-03-10,527.3
2025-03-11,527.35
2025-03-12,533.7
2025-03-13,528.15
2025-03-14,530.6
2025-03-17,539.55
2025-03-18,535.45
2025-03-19,535.9
2025-03-20,536.85
2025-03-21,534.6
2025-03-24,521.4
2025-03-25,521.7
2025-03-26,513.75
2025-03-27,502.4
2025-03-28,496.75
2025-03-31,490.5
2025-04-01,474.6
2025-04-02,477.9
2025-04-03,462.8
2025-04-04,441.3
2025-04-07,450.7
2025-04-08,429.0
2025-04-09,446.0
2025-04-10,438.0
2025-04-11,450.9
2025-04-14,449.3
2025-04-15,452.05
2025-04-16,452.25
2025-04-17,478.7
2025-04-18,476.85
2025-04-21,482.0
2025-04-22,482.65
2025-04-23,471.4
2025-04-24,469.9
2025-04-25,480.0
2025-04-28,473.95
2025-04-29,457.95
2025-04-30,454.5
2025-05-02,435.7
2025-05-05,426.7
2025-05-06,430.25
2025-05-07,438.0
2025-05-08,443.9
2025-05-12,456.4
2025-05-13,455.85
2025-05-14,438.8
2025-05-15,442.15
2025-05-16,439.85
2025-05-19,439.0
2025-05-20,432.3
2025-05-21,429.35
2025-05-22,423.85
2025-05-23,420.7
2025-05-26,413.9
2025-05-27,413.65
2025-05-28,428.15
2025-05-29,424.95
2025-05-30,427.15
2025-06-02,438.7
2025-06-03,444.15
2025-06-04,435.45
2025-06-05,437.9
2025-06-06,429.2
2025-06-09,425.75
2025-06-10,411.15
2025-06-11,415.4
2025-06-13,444.4
2025-06-16,436.15
2025-06-17,456.95
2025-06-18,454.85
2025-06-19,455.6
2025-06-20,448.75
2025-06-23,440.0
2025-06-24,436.8
2025-06-25,435.05
2025-06-26,435.15
2025-06-27,438.75
2025-06-30,442.3
2025-07-01,439.75
2025-07-02,435.0
2025-07-03,427.3
2025-07-04,426.7
2025-07-07,426.6
2025-07-08,415.25
2025-07-09,410.25
2025-07-10,413.2
2025-07-11,402.25
2025-07-14,422.25
2025-07-15,419.15
2025-07-16,422.0
2025-07-17,420.7
2025-07-18,414.35
2025-07-21,417.6
2025-07-22,419.6
2025-07-23,424.7
2025-07-24,422.5
2025-07-25,418.0
2025-07-28,415.05
2025-07-29,425.95
2025-07-30,419.4
2025-07-31,419.65
2025-08-01,416.85
2025-08-04,429.1
2025-08-05,435.75
2025-08-06,438.4
2025-08-07,445.05
2025-08-08,455.2
2025-08-11,461.55
2025-08-12,461.5
2025-08-13,456.6
2025-08-14,474.75
2025-08-15,487.35
2025-08-18,475.2
2025-08-19,466.8
2025-08-20,463.25
2025-08-21,454.75
2025-08-22,456.35
2025-08-25,458.4
2025-08-26,461.65
2025-08-27,465.6
2025-08-28,456.15
2025-08-29,459.75
2025-09-01,461.1
2025-09-02,451.8
2025-09-03,447.95
2025-09-04,449.55
2025-09-05,459.4
2025-09-08,458.0
2025-09-09,467.7
2025-09-10,461.65
2025-09-11,464.55
2025-09-12,448.4
2025-09-15,440.8
2025-09-16,436.85
2025-09-17,441.0
2025-09-18,435.55
2025-09-19,428.9
2025-09-22,431.45
2025-09-23,421.9
2025-09-24,427.7
2025-09-25,422.2
2025-09-26,424.25
2025-09-29,416.9
2025-09-30,411.4
2025-10-01,406.8
2025-10-02,408.0
2025-10-03,404.4
2025-10-06,411.65
2025-10-07,411.95
2025-10-08,403.85
2025-10-09,417.6
2025-10-10,406.5
2025-10-13,402.8
2025-10-14,401.35
2025-10-15,400.85
2025-10-16,423.75
2025-10-17,418.0
2025-10-20,421.0
2025-10-21,411.95
2025-10-22,401.95
2025-10-23,389.85
2025-10-24,389.8
2025-10-27,370.15
2025-10-28,376.5
2025-10-29,377.95
2025-10-30,387.5
2025-10-31,382.45
2025-11-01,384.8
2025-11-03,394.2
2025-11-05,389.4
2025-11-06,389.95
2025-11-07,394.85
2025-11-10,389.45
2025-11-11,390.15
2025-11-12,383.9
2025-11-13,383.15
2025-11-14,382.2
2025-11-17,379.8
2025-11-18,387.25
2025-11-19,402.6
2025-11-20,412.95
2025-11-21,407.95
2025-11-24,409.55
2025-11-25,410.2
2025-11-26,407.4
2025-11-27,400.7
2025-11-28,405.0
2025-12-01,406.3
2025-12-02,404.25
2025-12-03,399.8
2025-12-04,400.0
2025-12-05,410.0
2025-12-08,403.0
2025-12-09,408.05
2025-12-10,407.6
2025-12-11,411.65
2025-12-12,402.25
2025-12-15,409.65
2025-12-16,413.0
2025-12-17,411.45
2025-12-18,409.25
2025-12-19,410.0
2025-12-22,406.25
2025-12-23,404.95
2025-12-24,405.75
2025-12-25,402.8
2025-12-26,408.5
2025-12-29,408.65
2025-12-30,409.0
